created_at,entry_id,field1,field2,field3
2023-04-16 12:45:35 UTC,4044,22.07000,71.79000,0.74948
2023-04-16 12:50:36 UTC,4045,22.08000,70.75000,0.77758
2023-04-16 12:55:38 UTC,4046,22.11000,70.56000,0.78407
2023-04-16 13:00:40 UTC,4047,22.12000,72.00000,0.74617
2023-04-16 13:05:41 UTC,4048,22.17000,70.13000,0.79843
2023-04-16 13:10:43 UTC,4049,22.45000,68.55000,0.85510
2023-04-16 13:15:45 UTC,4050,22.35000,71.92000,0.75885
2023-04-16 13:20:46 UTC,4051,22.29000,73.51000,0.71327
2023-04-16 13:25:48 UTC,4052,22.22000,71.94000,0.75233
2023-04-16 13:30:50 UTC,4053,22.25000,72.76000,0.73168
2023-04-16 13:35:51 UTC,4054,22.24000,71.37000,0.76855
2023-04-16 13:40:53 UTC,4055,22.24000,74.42000,0.68668
2023-04-16 13:45:55 UTC,4056,22.24000,73.66000,0.70708
2023-04-16 13:50:56 UTC,4057,22.22000,73.70000,0.70515
2023-04-16 13:55:58 UTC,4058,22.24000,72.91000,0.72721
2023-04-16 14:01:00 UTC,4059,22.26000,71.77000,0.75874
2023-04-16 14:06:01 UTC,4060,22.25000,74.07000,0.69650
2023-04-16 14:11:03 UTC,4061,22.26000,72.93000,0.72756
2023-04-16 14:16:05 UTC,4062,22.28000,73.21000,0.72091
2023-04-16 14:21:07 UTC,4063,22.29000,73.13000,0.72350
2023-04-16 14:26:09 UTC,4064,22.29000,73.85000,0.70412
2023-04-16 14:31:10 UTC,4065,22.28000,72.63000,0.73652
2023-04-16 14:36:12 UTC,4066,22.29000,73.98000,0.70062
2023-04-16 14:41:14 UTC,4067,22.28000,75.36000,0.66305
2023-04-16 14:46:15 UTC,4068,22.29000,74.22000,0.69415
2023-04-16 14:51:17 UTC,4069,22.34000,72.32000,0.74758
2023-04-16 14:56:19 UTC,4070,22.35000,73.71000,0.71047
2023-04-16 15:01:20 UTC,4071,22.36000,72.74000,0.73714
2023-04-16 15:06:22 UTC,4072,22.32000,72.80000,0.73373
2023-04-16 15:11:24 UTC,4073,22.35000,75.31000,0.66723
2023-04-16 15:16:25 UTC,4074,22.45000,76.28000,0.64493
2023-04-16 15:21:27 UTC,4075,22.42000,75.58000,0.66275
2023-04-16 15:26:29 UTC,4076,22.39000,74.92000,0.67942
2023-04-16 15:31:30 UTC,4077,22.39000,75.86000,0.65396
2023-04-16 15:36:32 UTC,4078,22.34000,75.93000,0.65008
2023-04-16 15:41:34 UTC,4079,22.32000,74.80000,0.67978
2023-04-16 15:46:35 UTC,4080,22.26000,74.93000,0.67381
2023-04-16 15:51:37 UTC,4081,22.18000,75.00000,0.66866
2023-04-16 15:56:39 UTC,4082,22.12000,75.01000,0.66596
2023-04-16 16:01:40 UTC,4083,22.09000,75.91000,0.64080
2023-04-16 16:06:42 UTC,4084,22.11000,77.27000,0.60536
2023-04-16 16:11:44 UTC,4085,22.08000,76.41000,0.62712
2023-04-16 16:16:45 UTC,4086,22.08000,76.83000,0.61595
2023-04-16 16:21:47 UTC,4087,22.09000,76.42000,0.62723
2023-04-16 16:26:49 UTC,4088,22.09000,76.82000,0.61659
2023-04-16 16:31:50 UTC,4089,22.05000,77.39000,0.59997
2023-04-16 16:36:52 UTC,4090,22.04000,76.98000,0.61047
2023-04-16 16:41:54 UTC,4091,22.05000,76.58000,0.62146
2023-04-16 16:46:55 UTC,4092,22.05000,76.28000,0.62942
2023-04-16 16:51:57 UTC,4093,22.05000,76.62000,0.62040
2023-04-16 16:56:59 UTC,4094,22.05000,77.08000,0.60819
2023-04-16 17:02:00 UTC,4095,22.08000,77.62000,0.59495
2023-04-16 17:07:02 UTC,4096,22.04000,76.11000,0.63355
2023-04-16 17:12:04 UTC,4097,22.08000,75.25000,0.65795
2023-04-16 17:17:05 UTC,4098,22.07000,75.58000,0.64879
2023-04-16 17:22:07 UTC,4099,22.08000,76.78000,0.61728
2023-04-16 17:27:09 UTC,4100,22.14000,76.39000,0.62995
2023-04-16 17:32:10 UTC,4101,22.21000,75.81000,0.64818
2023-04-16 17:37:12 UTC,4102,22.18000,75.72000,0.64940
2023-04-16 17:42:14 UTC,4103,22.14000,75.58000,0.65156
2023-04-16 17:47:15 UTC,4104,22.14000,75.00000,0.66703
2023-04-16 17:52:17 UTC,4105,22.11000,74.92000,0.66795
